close_date,exchange_rate_br
23/12/2016 23:58:00,3.266
24/12/2016 23:58:00,3.2695
25/12/2016 23:58:00,3.2695
26/12/2016 23:58:00,3.2696
27/12/2016 23:58:00,3.2694
28/12/2016 23:58:00,3.2825
29/12/2016 23:58:00,3.2523
30/12/2016 23:58:00,3.2497
31/12/2016 23:58:00,3.2532
01/01/2017 23:58:00,3.2532
02/01/2017 23:58:00,3.284
03/01/2017 23:58:00,3.2635
04/01/2017 23:58:00,3.2141
05/01/2017 23:58:00,3.1977
06/01/2017 23:58:00,3.2199
07/01/2017 23:58:00,3.2222
08/01/2017 23:58:00,3.2222
09/01/2017 23:58:00,3.1955
10/01/2017 23:58:00,3.1945
11/01/2017 23:58:00,3.1963
12/01/2017 23:58:00,3.1868
13/01/2017 23:58:00,3.2163
14/01/2017 23:58:00,3.2198
15/01/2017 23:58:00,3.1868
16/01/2017 23:58:00,3.2405
17/01/2017 23:58:00,3.2098
18/01/2017 23:58:00,3.2296
19/01/2017 23:58:00,3.1949
20/01/2017 23:58:00,3.164
21/01/2017 23:58:00,3.1675
22/01/2017 23:58:00,3.1423
23/01/2017 23:58:00,3.1617
24/01/2017 23:58:00,3.1687
25/01/2017 23:58:00,3.1685
26/01/2017 23:58:00,3.1761
27/01/2017 23:58:00,3.136
28/01/2017 23:58:00,3.136
29/01/2017 23:58:00,3.1096
30/01/2017 23:58:00,3.1255
31/01/2017 23:58:00,3.1501
01/02/2017 23:58:00,3.128
02/02/2017 23:58:00,3.1225
03/02/2017 23:58:00,3.1138
04/02/2017 23:58:00,3.1127
05/02/2017 23:58:00,3.1195
06/02/2017 23:58:00,3.1137
07/02/2017 23:58:00,3.1167
08/02/2017 23:58:00,3.1159
09/02/2017 23:58:00,3.1288
10/02/2017 23:58:00,3.1108
11/02/2017 23:58:00,3.0959
12/02/2017 23:58:00,3.1071
13/02/2017 23:58:00,3.1101
14/02/2017 23:58:00,3.0812
15/02/2017 23:58:00,3.0561
16/02/2017 23:58:00,3.0875
17/02/2017 23:58:00,3.0998
18/02/2017 23:58:00,3.0998
19/02/2017 23:58:00,3.0955
20/02/2017 23:58:00,3.0855
21/02/2017 23:58:00,3.0939
22/02/2017 23:58:00,3.0623
23/02/2017 23:58:00,3.0603
24/02/2017 23:58:00,3.1095
25/02/2017 23:58:00,3.1095
26/02/2017 23:58:00,3.0946
27/02/2017 23:58:00,3.1053
28/02/2017 23:58:00,3.108
01/03/2017 23:58:00,3.0882
02/03/2017 23:58:00,3.1546
03/03/2017 23:58:00,3.1146
04/03/2017 23:58:00,3.1123
05/03/2017 23:58:00,3.12
06/03/2017 23:58:00,3.1372
07/03/2017 23:58:00,3.1159
08/03/2017 23:58:00,3.1593
09/03/2017 23:58:00,3.1913
10/03/2017 23:58:00,3.1346
12/03/2017 23:58:00,3.1475
13/03/2017 23:58:00,3.1524
14/03/2017 23:58:00,3.1637
15/03/2017 23:58:00,3.0999
16/03/2017 23:58:00,3.1193
17/03/2017 23:58:00,3.0896
18/03/2017 23:58:00,3.0903
19/03/2017 23:58:00,3.0866
20/03/2017 23:58:00,3.071
21/03/2017 23:58:00,3.0868
22/03/2017 23:58:00,3.0848
23/03/2017 23:58:00,3.1381
24/03/2017 23:58:00,3.1043
25/03/2017 23:58:00,3.1065
26/03/2017 23:58:00,3.1097
27/03/2017 23:58:00,3.1252
28/03/2017 23:58:00,3.1384
29/03/2017 23:58:00,3.1221
30/03/2017 23:58:00,3.1477
31/03/2017 23:58:00,3.1179
02/04/2017 23:58:00,3.1218
03/04/2017 23:58:00,3.113
04/04/2017 23:58:00,3.0956
05/04/2017 23:58:00,3.1196
06/04/2017 23:58:00,3.1415
07/04/2017 23:58:00,3.1446
08/04/2017 23:58:00,3.1421
09/04/2017 23:58:00,3.1447
10/04/2017 23:58:00,3.1318
11/04/2017 23:58:00,3.1368
12/04/2017 23:58:00,3.1235
13/04/2017 23:58:00,3.1424
14/04/2017 23:58:00,3.1407
15/04/2017 23:58:00,3.1431
16/04/2017 23:58:00,3.1437
17/04/2017 23:58:00,3.1303
18/04/2017 23:58:00,3.1065
19/04/2017 23:58:00,3.1483
20/04/2017 23:58:00,3.1471
21/04/2017 23:58:00,3.1441
23/04/2017 23:58:00,3.1468
24/04/2017 23:58:00,3.127
25/04/2017 23:58:00,3.1472
26/04/2017 23:58:00,3.1711
27/04/2017 23:58:00,3.1811
28/04/2017 23:58:00,3.1724
29/04/2017 23:58:00,3.1724
30/04/2017 23:58:00,3.1761
01/05/2017 23:58:00,3.1751
02/05/2017 23:58:00,3.1502
03/05/2017 23:58:00,3.1621
04/05/2017 23:58:00,3.1849
05/05/2017 23:58:00,3.1737
07/05/2017 23:58:00,3.1777
08/05/2017 23:58:00,3.1964
09/05/2017 23:58:00,3.1868
10/05/2017 23:58:00,3.1657
11/05/2017 23:58:00,3.139
12/05/2017 23:58:00,3.1016
14/05/2017 23:58:00,3.1777
15/05/2017 23:58:00,3.1082
16/05/2017 23:58:00,3.0958
17/05/2017 23:58:00,3.1334
18/05/2017 23:58:00,3.369
19/05/2017 23:58:00,3.2524
20/05/2017 23:58:00,3.2524
21/05/2017 23:58:00,3.2533
22/05/2017 23:58:00,3.2654
23/05/2017 23:58:00,3.2686
24/05/2017 23:58:00,3.2742
25/05/2017 23:58:00,3.2735
26/05/2017 23:58:00,3.2546
27/05/2017 23:58:00,3.2589
28/05/2017 23:58:00,3.1777
29/05/2017 23:58:00,3.2554
30/05/2017 23:58:00,3.2562
31/05/2017 23:58:00,3.2251
01/06/2017 23:58:00,3.249
02/06/2017 23:58:00,3.2434
03/06/2017 23:58:00,3.2472
04/06/2017 23:58:00,3.2492
05/06/2017 23:58:00,3.2961
06/06/2017 23:58:00,3.276
07/06/2017 23:58:00,3.2673
08/06/2017 23:58:00,3.2596
09/06/2017 23:58:00,3.2934
10/06/2017 23:58:00,3.2943
11/06/2017 23:58:00,3.1777
12/06/2017 23:58:00,3.3167
13/06/2017 23:58:00,3.3144
14/06/2017 23:58:00,3.2726
15/06/2017 23:58:00,3.2736
16/06/2017 23:58:00,3.2914
17/06/2017 23:58:00,3.2901
18/06/2017 23:58:00,3.2901
19/06/2017 23:58:00,3.2811
20/06/2017 23:58:00,3.3255
21/06/2017 23:58:00,3.3334
22/06/2017 23:58:00,3.3397
23/06/2017 23:58:00,3.311
24/06/2017 23:58:00,3.311
25/06/2017 23:58:00,3.3415
26/06/2017 23:58:00,3.2948
27/06/2017 23:58:00,3.312
28/06/2017 23:58:00,3.2795
29/06/2017 23:58:00,3.3027
30/06/2017 23:58:00,3.2761
01/07/2017 23:58:00,3.3014
02/07/2017 23:58:00,3.1777
03/07/2017 23:58:00,3.3005
04/07/2017 23:58:00,3.3092
05/07/2017 23:58:00,3.287
06/07/2017 23:58:00,3.2973
07/07/2017 23:58:00,3.2788
08/07/2017 23:58:00,3.2764
09/07/2017 23:58:00,3.1777
10/07/2017 23:58:00,3.2537
11/07/2017 23:58:00,3.2531
12/07/2017 23:58:00,3.2068
13/07/2017 23:58:00,3.21
14/07/2017 23:58:00,3.178
17/07/2017 23:58:00,3.1812
18/07/2017 23:58:00,3.1527
19/07/2017 23:58:00,3.1477
20/07/2017 23:58:00,3.1184
21/07/2017 23:58:00,3.136
22/07/2017 23:58:00,3.1402
23/07/2017 23:58:00,3.1777
24/07/2017 23:58:00,3.1444
25/07/2017 23:58:00,3.1712
26/07/2017 23:58:00,3.1375
27/07/2017 23:58:00,3.1526
28/07/2017 23:58:00,3.1269
29/07/2017 23:58:00,3.1311
30/07/2017 23:58:00,3.1777
31/07/2017 23:58:00,3.1258
01/08/2017 23:58:00,3.1228
02/08/2017 23:58:00,3.1122
03/08/2017 23:58:00,3.1115
04/08/2017 23:58:00,3.1175
06/08/2017 23:58:00,3.1293
07/08/2017 23:58:00,3.1242
08/08/2017 23:58:00,3.1259
09/08/2017 23:58:00,3.1523
10/08/2017 23:58:00,3.1736
11/08/2017 23:58:00,3.1888
12/08/2017 23:58:00,3.191
13/08/2017 23:58:00,3.1777
14/08/2017 23:58:00,3.1872
15/08/2017 23:58:00,3.1676
16/08/2017 23:58:00,3.1514
17/08/2017 23:58:00,3.1733
18/08/2017 23:58:00,3.1414
19/08/2017 23:58:00,3.1453
20/08/2017 23:58:00,3.1777
21/08/2017 23:58:00,3.163
22/08/2017 23:58:00,3.1605
23/08/2017 23:58:00,3.1393
24/08/2017 23:58:00,3.1465
25/08/2017 23:58:00,3.1561
26/08/2017 23:58:00,3.1571
27/08/2017 23:58:00,3.1587
28/08/2017 23:58:00,3.1658
29/08/2017 23:58:00,3.1642
30/08/2017 23:58:00,3.1588
31/08/2017 23:58:00,3.146
01/09/2017 23:58:00,3.1358
02/09/2017 23:58:00,3.1405
03/09/2017 23:58:00,3.1777
04/09/2017 23:58:00,3.1394
05/09/2017 23:58:00,3.1158
06/09/2017 23:58:00,3.0979
07/09/2017 23:58:00,3.0976
08/09/2017 23:58:00,3.0829
09/09/2017 23:58:00,3.0853
10/09/2017 23:58:00,3.1777
11/09/2017 23:58:00,3.0997
12/09/2017 23:58:00,3.1219
13/09/2017 23:58:00,3.1316
14/09/2017 23:58:00,3.1181
15/09/2017 23:58:00,3.1062
17/09/2017 23:58:00,3.1097
18/09/2017 23:58:00,3.1349
19/09/2017 23:58:00,3.1328
20/09/2017 23:58:00,3.1306
21/09/2017 23:58:00,3.1345
22/09/2017 23:58:00,3.1172
24/09/2017 23:58:00,3.1235
25/09/2017 23:58:00,3.1573
26/09/2017 23:58:00,3.1639
27/09/2017 23:58:00,3.1919
28/09/2017 23:58:00,3.1809
29/09/2017 23:58:00,3.1587
01/10/2017 23:58:00,3.1634
02/10/2017 23:58:00,3.1529
03/10/2017 23:58:00,3.1408
04/10/2017 23:58:00,3.1332
05/10/2017 23:58:00,3.1524
06/10/2017 23:58:00,3.1516
07/10/2017 23:58:00,3.1257
08/10/2017 23:58:00,3.1555
09/10/2017 23:58:00,3.1868
10/10/2017 23:58:00,3.1778
11/10/2017 23:58:00,3.1697
12/10/2017 23:58:00,3.169
13/10/2017 23:58:00,3.1408
14/10/2017 23:58:00,3.1435
15/10/2017 23:58:00,3.1462
16/10/2017 23:58:00,3.1703
17/10/2017 23:58:00,3.1561
18/10/2017 23:58:00,3.1701
19/10/2017 23:58:00,3.1649
20/10/2017 23:58:00,3.1876
21/10/2017 23:58:00,3.1922
22/10/2017 23:58:00,3.1909
23/10/2017 23:58:00,3.2344
24/10/2017 23:58:00,3.2426
25/10/2017 23:58:00,3.2312
26/10/2017 23:58:00,3.2865
27/10/2017 23:58:00,3.2313
29/10/2017 23:58:00,3.2348
30/10/2017 23:58:00,3.2873
31/10/2017 23:58:00,3.2696
01/11/2017 23:58:00,3.2662
02/11/2017 23:58:00,3.2646
03/11/2017 23:58:00,3.3094
04/11/2017 23:58:00,3.3129
05/11/2017 23:58:00,3.2926
06/11/2017 23:58:00,3.2479
07/11/2017 23:58:00,3.2701
08/11/2017 23:58:00,3.2513
09/11/2017 23:58:00,3.2487
10/11/2017 23:58:00,3.2729
11/11/2017 23:58:00,3.2729
12/11/2017 23:58:00,3.2764
13/11/2017 23:58:00,3.2759
14/11/2017 23:58:00,3.3119
15/11/2017 23:58:00,3.31
16/11/2017 23:58:00,3.2706
17/11/2017 23:58:00,3.2524
18/11/2017 23:58:00,3.2524
19/11/2017 23:58:00,3.2545
20/11/2017 23:58:00,3.254
21/11/2017 23:58:00,3.2573
22/11/2017 23:58:00,3.2229
23/11/2017 23:58:00,3.2203
24/11/2017 23:58:00,3.228
25/11/2017 23:58:00,3.2315
26/11/2017 23:58:00,3.2329
27/11/2017 23:58:00,3.2264
28/11/2017 23:58:00,3.2097
29/11/2017 23:58:00,3.2448
30/11/2017 23:58:00,3.2712
01/12/2017 23:58:00,3.2531
02/12/2017 23:58:00,3.253
